host_response_time,host_acceptance_rate,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,log_price,num_amenities,amenity_wifi,amenity_kitchen,amenity_air_conditioning,amenity_heating,amenity_washer,amenity_dryer,amenity_tv,amenity_parking,amenity_pool,amenity_pets_allowed,amenity_long_term_stays_allowed,num_host_verifications,host_duration_days,days_since_last_review,neighbourhood_group,has_reviews
within_hour,1.0,1,50.08229,14.41552,Entire rental unit,Entire_home/apt,4,1.0,1.0,2.0,1,365,1,0,0,31,1,4.9,4.93,4.86,1,69,0,0,0.18,7.978996370854115,30,1,1,1,1,1,1,1,0,0,0,1,2,5933,274.0,Old_Town_Center,1
within_hour,0.98,1,50.08729,14.43179,Entire rental unit,Entire_home/apt,4,1.5,1.0,2.0,3,700,1,3,173,411,53,4.94,4.93,4.9,0,3,0,0,3.43,7.367077059881012,58,1,1,1,1,1,1,1,1,0,0,1,2,5438,9.0,Old_Town_Center,1
within_hour,0.8,1,50.08704,14.44539,Private room in rental unit,Private_room,2,1.0,1.0,2.0,3,60,1,5,5,414,52,4.76,4.63,4.83,0,3,3,0,2.79,6.7580945044277305,29,1,0,0,1,0,1,1,1,0,0,0,2,4510,14.0,Near_Center_East,1
within_hour,0.8,1,50.08525,14.44513,Private room in rental unit,Private_room,2,1.0,1.0,3.0,3,60,1,3,3,389,47,4.69,4.59,4.73,0,3,3,0,2.67,6.4457198193855785,31,1,0,0,1,0,1,1,1,0,0,0,2,4510,15.0,Near_Center_East,1
within_hour,0.8,1,50.0852,14.44644,Private room in rental unit,Private_room,2,1.0,1.0,1.0,3,60,1,6,6,381,52,4.78,4.68,4.81,0,3,3,0,2.58,6.650279048587422,29,1,0,0,1,0,1,1,1,0,0,0,2,4510,21.0,Near_Center_East,1
within_hour,1.0,1,50.0815,14.42123,Entire condo,Entire_home/apt,4,1.5,1.0,2.0,1,1125,1,13,294,766,49,4.78,4.89,4.76,1,19,0,0,5.13,7.779048644925556,55,1,1,1,1,1,1,1,1,0,0,1,2,4913,1.0,Old_Town_Center,1
within_hour,1.0,1,50.08787,14.42235,Entire rental unit,Entire_home/apt,2,1.0,0.0,1.0,2,999,1,8,277,10,1,4.9,5.0,4.6,1,1,0,0,0.07,7.478169694159785,48,1,0,1,1,0,1,1,1,0,1,1,3,4822,81.0,Old_Town_Center,1
within_hour,0.93,1,50.08588,14.42116,Entire rental unit,Entire_home/apt,6,1.0,2.0,3.0,2,1125,1,5,241,56,3,4.38,4.98,4.36,0,44,0,0,0.42,7.884952945759814,30,1,1,1,1,1,1,1,1,0,0,0,3,4175,228.0,Old_Town_Center,1
within_hour,0.93,1,50.08588,14.42116,Entire rental unit,Entire_home/apt,6,1.0,2.0,2.0,2,1125,1,5,268,18,2,4.67,4.83,4.56,0,44,0,0,0.15,7.9665866976384025,30,1,1,1,1,1,1,1,1,1,0,1,3,4175,99.0,Old_Town_Center,1
within_hour,0.93,1,50.08588,14.42116,Entire rental unit,Entire_home/apt,8,2.0,3.0,4.0,2,1125,1,4,243,169,17,4.63,4.93,4.63,0,44,0,0,1.18,8.159660737063376,30,1,1,1,1,1,1,1,1,1,0,1,3,4175,63.0,Old_Town_Center,1
within_hour,0.93,1,50.08588,14.42116,Entire rental unit,Entire_home/apt,14,3.0,5.0,6.0,2,1125,1,1,210,77,19,4.78,4.97,4.69,0,44,0,0,0.54,8.841881989497114,30,1,1,1,1,1,1,1,1,1,0,1,3,4175,48.0,Old_Town_Center,1
within_day,0.0,1,50.08228,14.41345,Entire rental unit,Entire_home/apt,3,1.0,1.0,2.0,7,365,1,27,362,333,0,4.76,4.9,4.79,0,1,0,0,1.88,7.914617709040679,32,1,1,1,1,1,1,1,1,0,0,1,2,5343,686.0,Old_Town_Center,1
within_hour,1.0,1,50.0709,14.43157,Entire rental unit,Entire_home/apt,7,1.0,1.0,4.0,1,365,1,24,71,276,49,4.62,4.59,4.69,1,101,0,0,1.58,7.425953657077541,30,1,1,1,1,1,1,1,1,0,1,1,2,5303,27.0,New_Town_Vinohrady,1
within_hour,1.0,1,50.07834,14.43302,Entire rental unit,Entire_home/apt,3,1.0,1.0,2.0,2,365,1,8,51,495,55,4.52,4.71,4.58,1,101,0,0,2.82,7.186144304522325,22,1,1,1,1,0,1,1,1,0,1,1,2,5303,7.0,New_Town_Vinohrady,1
within_hour,1.0,1,50.07724,14.43383,Entire rental unit,Entire_home/apt,4,1.0,1.0,2.0,2,365,1,15,58,415,57,4.6,4.76,4.67,1,101,0,0,2.37,7.269616749608169,24,1,1,1,1,1,1,1,1,0,1,1,2,5303,2.0,New_Town_Vinohrady,1
within_hour,1.0,1,50.08655,14.4512,Entire rental unit,Entire_home/apt,3,1.0,1.0,2.0,2,365,1,21,66,274,35,4.41,4.44,4.46,1,101,0,0,1.61,7.0587581525186645,22,1,1,1,1,1,1,1,1,0,1,1,2,5303,24.0,Near_Center_East,1
