id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3884,Rental unit in Prague · 1 bedroom · 2 beds · 1.5 baths,3128,Regina,,Praha 1,50.08411,14.43047,Entire home/apt,1396,5,2,2012-07-13,0.01,1,0,0,
23163,Rental unit in Prague · ★4.92 · 1 bedroom · 2 beds · 1 bath,5282,Klara,,Praha 1,50.08229,14.41552,Entire home/apt,3217,1,27,2023-03-20,0.17,73,4,6,
23169,Rental unit in Prague · ★4.71 · 1 bedroom · 2 beds · 1 bath,5282,Klara,,Praha 1,50.0883,14.42272,Entire home/apt,2484,1,107,2023-06-18,0.67,73,9,18,
26755,Rental unit in Prague · ★4.94 · 1 bedroom · 2 beds · 1.5 baths,113902,Daniel+Bea,,Praha 1,50.08729,14.43179,Entire home/apt,2805,3,314,2023-06-15,3.18,3,82,57,
30762,Serviced apartment in Prague · ★4.71 · 2 bedrooms · 3 beds · 1 bath,5282,Klara,,Praha 1,50.08821,14.42623,Entire home/apt,4792,1,14,2023-05-21,0.09,73,11,2,
42514,Rental unit in Prague · ★4.76 · 1 bedroom · 2 beds · 1 bath,185641,Victoria,,Praha 1,50.08228,14.41345,Entire home/apt,2957,7,333,2023-04-30,2.13,1,362,7,
52148,Rental unit in Prague · ★4.54 · 1 bedroom · 4 beds · 1 bath,227945,Alex And Kate,,Praha 2,50.06996574291571,14.430666050424191,Entire home/apt,1527,1,169,2023-06-20,1.10,93,19,37,
55844,Rental unit in Prague · ★4.52 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 2,50.07795,14.43388,Entire home/apt,1108,2,391,2023-06-22,2.54,93,19,51,
55856,Rental unit in Prague · ★4.57 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 2,50.07617,14.43308,Entire home/apt,1173,2,306,2023-06-07,1.98,93,13,63,
70003,Rental unit in Prague · ★4.43 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 3,50.08557,14.45098,Entire home/apt,1068,2,199,2023-06-19,1.34,93,10,38,
75298,Rental unit in Prague · ★4.75 · 1 bedroom · 1 bed · 1 bath,398991,Emanuele,,Praha 1,50.092285,14.4329,Entire home/apt,1724,3,34,2023-06-21,0.41,2,345,10,
76254,Tiny home in Prague · ★4.55 · 1 bedroom · 2 beds · 1.5 baths,406700,Rena,,Praha 2,50.06996,14.43516,Entire home/apt,912,2,160,2023-04-12,1.10,1,209,15,
79373,Rental unit in Prague · ★4.68 · 1 bedroom · 2 beds · 1 bath,5282,Klara,,Praha 1,50.08844,14.42424,Entire home/apt,2484,1,48,2023-05-10,0.32,73,0,7,
79381,Rental unit in Prague · ★4.93 · 1 bedroom · 1 bed · 1.5 baths,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,2484,1,15,2023-04-30,0.10,73,0,1,
79387,Rental unit in Prague · ★4.88 · 1 bedroom · 2 beds · 1 bath,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,2737,1,26,2023-05-07,0.18,73,16,8,
83067,Rental unit in Prague · ★4.54 · 1 bedroom · 4 beds · 1 bath,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,2781,3,189,2023-06-04,1.29,14,88,4,
83855,Rental unit in Prague · ★4.57 · 1 bedroom · 3 beds · 1 bath,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,2673,3,215,2020-09-28,1.60,14,96,0,
83856,Rental unit in Prague · ★4.62 · 1 bedroom · 3 beds · 1 bath,315332,Lubos & Marta,,Praha 1,50.08385,14.41463,Entire home/apt,3390,3,353,2023-06-09,2.38,14,79,65,
85790,Rental unit in Prague · ★4.59 · 3 bedrooms · 12 beds · 1.5 baths,383698,Viktor,,Praha 1,50.07744,14.4141,Entire home/apt,4150,1,109,2023-06-09,0.76,8,286,26,
85884,Rental unit in Prague · ★4.86 · 1 bedroom · 1 bed · 1.5 shared baths,423259,Zsofia,,Praha 7,50.10175,14.43304,Private room,667,30,61,2022-12-31,0.43,15,81,2,
98852,Rental unit in Prague · ★4.74 · 1 bedroom · 1 bed · 1 bath,517329,Teresa,,Praha 1,50.08588,14.42145,Entire home/apt,1896,2,566,2023-06-21,3.82,1,180,43,
106207,Rental unit in Prague · ★4.59 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 3,50.08766,14.451,Entire home/apt,923,2,265,2023-06-14,1.82,93,5,54,
109549,Condo in Prague · ★4.79 · 2 bedrooms · 2 beds · 1 bath,565267,Tana,,Praha 1,50.09104,14.42533,Entire home/apt,4157,4,168,2023-06-10,1.16,2,267,6,
111141,Rental unit in Prague · ★4.48 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 3,50.08589,14.45203,Entire home/apt,1088,2,216,2023-06-16,1.49,93,16,37,
112281,Rental unit in Prague · ★4.59 · 1 bedroom · 2 beds · 0 baths,227945,Alex And Kate,,Praha 1,50.07905,14.42732,Entire home/apt,2163,2,245,2023-06-18,1.71,93,10,24,
117451,Loft in Prague · ★4.69 · 1 bedroom · 2 beds · 1 bath,546587,Kristina,,Praha 5,50.06625,14.40245,Entire home/apt,1933,1,297,2023-06-04,2.13,2,144,5,
146690,Rental unit in Prague · ★4.91 · 2 bedrooms · 6 beds · 1 bath,589265,Jan,,Praha 3,50.08529,14.44532,Entire home/apt,2034,6,363,2023-06-12,2.48,2,95,34,
167878,Rental unit in Praha 8 · 2 bedrooms · 2 beds · 1 bath,800205,Peter,,Praha 8,50.10546,14.4707,Entire home/apt,4494,10,1,2018-04-22,0.02,1,88,0,
173114,Condo in Prague · ★4.66 · 1 bedroom · 1 bed · 1 bath,826315,Idan & Marta,,Praha 1,50.09024,14.4248,Entire home/apt,2149,4,340,2022-01-02,2.35,1,316,0,
176243,Rental unit in Prague · ★4.63 · 3 bedrooms · 4 beds · 1 bath,838198,Michael,,Praha 1,50.08875,14.42211,Entire home/apt,4349,4,395,2023-06-13,2.84,48,29,52,
181641,Rental unit in Prague 1 - Old Town · ★4.19 · 1 bedroom · 1 bed · 1 bath,870664,Jan,,Praha 1,50.08685,14.41432,Entire home/apt,1183,2,185,2020-01-26,1.34,9,30,0,
181951,Rental unit in Prague · ★4.05 · 1 bedroom · 2 beds · 1 bath,870664,Jan,,Praha 1,50.08267,14.42895,Entire home/apt,1135,2,134,2023-05-22,0.94,9,24,12,
182072,Condo in Prague · ★4.22 · 1 bedroom · 3 beds · 1 bath,870664,Jan,,Praha 3,50.0795,14.44812,Entire home/apt,1703,2,32,2023-06-06,0.22,9,27,4,
182772,Rental unit in Prague · ★4.61 · 1 bedroom · 2 beds · 1 bath,315332,Lubos & Marta,,Praha 1,50.08354,14.41276,Entire home/apt,3018,3,161,2023-05-30,1.12,14,87,47,
183338,Rental unit in Prague · ★4.77 · 1 bedroom · 3 beds · 1 bath,850917,Slavomir,,Praha 1,50.0792350769043,14.429807662963867,Entire home/apt,1408,2,234,2023-06-22,1.76,2,250,50,
186750,Rental unit in Prague · ★4.76 · 1 bedroom · 2 beds · 1 bath,783726,Mathieu,,Praha 3,50.08499,14.45316,Entire home/apt,2229,3,524,2023-06-18,3.94,3,63,49,
190423,Rental unit in Prague · ★4.66 · 2 bedrooms · 5 beds · 1 bath,955586,Eric,,Praha 5,50.07942,14.4054,Entire home/apt,21739,1,30,2019-12-27,0.22,11,0,0,
191254,Rental unit in Prague · ★4.72 · 2 bedrooms · 4 beds · 1 bath,227945,Alex And Kate,,Praha 1,50.08136,14.41477,Entire home/apt,2653,2,328,2023-06-18,2.28,93,13,17,
191474,Rental unit in Prague · ★4.59 · 1 bedroom · 3 beds · 1 bath,333807,Marco,,Praha 1,50.09124,14.42863,Entire home/apt,3406,2,34,2023-05-09,0.24,11,319,4,
191547,Rental unit in Prague · ★4.65 · 2 bedrooms · 2 beds · 2 baths,333807,Marco,,Praha 1,50.09124,14.42863,Entire home/apt,4092,2,44,2023-05-31,0.31,11,309,4,
191554,Rental unit in Prague · ★4.27 · 1 bedroom · 1 bed · 1 bath,333807,Marco,,Praha 1,50.09124,14.42863,Entire home/apt,2099,2,49,2023-03-30,0.34,11,303,7,
199947,Rental unit in Prague 01 · ★4.62 · 3 bedrooms · 7 beds · 2 baths,955586,Eric,,Praha 1,50.080511866766244,14.420989570206713,Entire home/apt,12395,1,132,2023-05-29,0.93,11,1,3,
201908,Rental unit in Prague · ★4.50 · 1 bedroom · 1 bed · 1 bath,955586,Eric,,Praha 5,50.08033,14.40353,Entire home/apt,10668,1,30,2019-12-24,0.21,11,0,0,
202545,Rental unit in Prague · ★4.56 · 2 bedrooms · 6 beds · 1 bath,955586,Eric,,Praha 5,50.07912,14.40417,Entire home/apt,22993,1,40,2020-01-02,0.28,11,0,0,
208007,Rental unit in Prague · ★4.47 · 2 bedrooms · 7 beds · 1 bath,383698,Viktor,,Praha 1,50.07687,14.41414,Entire home/apt,3879,1,131,2023-06-03,0.93,8,333,16,
215576,Rental unit in Prague · ★4.47 · 1 bedroom · 2 beds · 1 bath,955586,Eric,,Praha 5,50.07882,14.4054,Entire home/apt,10574,1,43,2020-02-11,0.35,11,0,0,
215583,Rental unit in Prague · ★4.76 · 2 bedrooms · 6 beds · 1 bath,955586,Eric,,Praha 1,50.08078,14.40354,Entire home/apt,22354,1,38,2020-01-20,0.27,11,0,0,
215586,Rental unit in Prague · ★4.61 · 3 bedrooms · 7 beds · 1 bath,955586,Eric,,Praha 5,50.07902,14.40382,Entire home/apt,33543,1,23,2020-01-07,0.19,11,0,0,
220569,Rental unit in Prague · ★4.08 · 1 bedroom · 3 beds · 1 bath,870664,Jan,,Praha 1,50.09149,14.4341,Entire home/apt,1892,2,75,2023-06-06,0.52,9,33,18,
222299,Rental unit in Prague · ★4.04 · 1 bedroom · 4 beds · 1 bath,870664,Jan,,Praha 2,50.07343,14.43098,Entire home/apt,899,2,315,2023-05-21,2.21,9,15,18,
224457,Rental unit in Prague · ★4.56 · 2 bedrooms · 6 beds · 1 bath,1167278,Jane And George,,Praha 1,50.08737,14.41071,Entire home/apt,2889,2,251,2023-06-06,1.75,3,22,7,
247267,Rental unit in Prague · ★4.81 · 1 bedroom · 4 beds · 1 bath,113902,Daniel+Bea,,Praha 1,50.08704,14.43397,Entire home/apt,1938,3,445,2023-06-08,3.14,3,30,52,
254484,Rental unit in Prague · ★4.78 · 1 bedroom · 2 beds · 1 bath,1336827,Hana,,Praha 1,50.086,14.40397,Entire home/apt,2077,2,256,2023-05-14,1.83,2,286,3,
278524,Rental unit in Prague · ★4.49 · 4 bedrooms · 15 beds · 2 baths,383698,Viktor,,Praha 1,50.08118,14.41882,Entire home/apt,5856,1,215,2023-06-04,1.62,8,295,24,
279773,Rental unit in Prague · ★4.67 · 1 bedroom · 1 bed · 1 bath,843497,Frantisek,,Praha 1,50.08915,14.4186,Entire home/apt,2105,2,469,2023-06-22,3.49,2,289,76,
287716,Rental unit in Prague · ★4.96 · 2 bedrooms · 3 beds · 2.5 baths,5282,Klara,,Praha 1,50.08229,14.41552,Entire home/apt,5701,1,27,2023-06-20,0.22,73,4,4,
287727,Serviced apartment in Prague · ★4.92 · 1 bedroom · 2 beds · 1 bath,5282,Klara,,Praha 1,50.08821,14.42623,Entire home/apt,3217,1,12,2023-04-09,0.10,73,0,2,
287734,Serviced apartment in Prague · ★4.92 · 3 bedrooms · 4 beds · 2 baths,5282,Klara,,Praha 1,50.08821,14.42623,Entire home/apt,7117,1,24,2023-06-19,0.23,73,11,4,
300620,Loft in Prague · ★4.80 · 2 bedrooms · 2 beds · 1 bath,1548689,Josef,,Praha 17,50.06858,14.31801,Entire home/apt,1947,2,21,2019-12-30,0.17,1,237,0,
302265,Aparthotel in Prague · ★4.80 · 1 bedroom · 2 beds · 1 private bath,1556914,Eugenia,,Praha 2,50.07417,14.42633,Hotel room,2855,2,12,2022-09-04,0.10,5,339,3,
304027,Bed and breakfast in Prague · ★4.56 · 1 bedroom · 6 beds · 8 shared baths,1564885,Artharmony,,Praha 2,50.07472,14.4226,Shared room,757,2,240,2023-05-16,1.83,4,344,4,
318204,Rental unit in Prague · ★4.57 · 1 bedroom · 1 bed · 1 bath,1629431,Alex & Natalia,,Praha 2,50.07306,14.4311,Entire home/apt,1470,2,204,2023-06-07,1.49,18,313,51,
